venue,impact_factor,impact_factor_year,metric_source
Acta neurochirurgica,2.258,2025,OpenAlex 2yr_mean_citedness
Allergo Journal,0.053,2025,OpenAlex 2yr_mean_citedness
Allergologie,0.095,2025,OpenAlex 2yr_mean_citedness
Allergy Proceedings,0,2025,OpenAlex 2yr_mean_citedness
ALZHEIMERS & DEMENTIA,0,2025,OpenAlex 2yr_mean_citedness
AMERICAN JOURNAL OF NEURORADIOLOGY,4.863,2025,OpenAlex 2yr_mean_citedness
Annals of Clinical and Translational Neurology,3.411,2025,OpenAlex 2yr_mean_citedness
Annals of Neurology,7.5,2025,JCR override (BioxBio 2026 update / ANA journal page)
Aperture neuro,1.623,2025,OpenAlex 2yr_mean_citedness
Biological Psychiatry,10.3,2025,JCR override (Elsevier journal insights)
Biological psychiatry. Cognitive neuroscience and neuroimaging,1.743,2025,OpenAlex 2yr_mean_citedness
Biological Psychiatry: Cognitive Neuroscience and Neuroimaging,4.7,2025,JCR override (Elsevier journal page)
Brain,12.6,2025,JCR override (BioxBio 2026 update; OUP/Brain reports current JIF separately)
Brain and Cognition,2.476,2025,OpenAlex 2yr_mean_citedness
Brain communications,3.938,2025,OpenAlex 2yr_mean_citedness
BRAIN SCIENCES,3.625,2025,OpenAlex 2yr_mean_citedness
Brain Stimulation,1.783,2025,OpenAlex 2yr_mean_citedness
Cell,37.752,2025,OpenAlex 2yr_mean_citedness
Cell Reports,7.726,2025,OpenAlex 2yr_mean_citedness
CEREBRAL CORTEX,3.862,2025,OpenAlex 2yr_mean_citedness
CEREBROVASCULAR DISEASES,1.418,2025,OpenAlex 2yr_mean_citedness
CLINICAL NEUROPHYSIOLOGY,1.217,2025,OpenAlex 2yr_mean_citedness
Communications Biology,5.707,2025,OpenAlex 2yr_mean_citedness
CURRENT OPINION IN NEUROLOGY,4.83,2025,OpenAlex 2yr_mean_citedness
DATA IN BRIEF,2.355,2025,OpenAlex 2yr_mean_citedness
Dystonia,1.349,2025,OpenAlex 2yr_mean_citedness
ELIFE,1.656,2025,OpenAlex 2yr_mean_citedness
ENEURO,3.258,2025,OpenAlex 2yr_mean_citedness
Epilepsia,4.23,2025,OpenAlex 2yr_mean_citedness
